Part Number,Part Name,Make/Buy,Planner,Buyer,CTLT,ABC Class,Ann Usage Pieces,Primary Supplier
27A8688X012,"PLUG,BAL  ~  4 3/8 ORF,1L1250,HFS&G",Make,Planner 12,,46.75634411,D E&O,,
27A8689X012,"PLUG,BAL ~ 2 7/8 ORF,1L1000",Make,Planner 12,,21.10735831,D E&O,,
27A8690X012,"PLUG,BAL ~ 2 7/8 ORF,1L1000,HFS&G",Make,Planner 12,,46.42383441,D E&O,,
27A8691X012,"PLUG,BAL ~ 3 7/16 ORF,1L7500",Make,Planner 12,,44.06402932,B,8,
27A8691X072,"PLUG,BAL ~ 3 7/16 PORT,1L7500",Make,Planner 12,,45.02765173,D E&O,,
27A8694X012,"PLUG,BAL  ~  5 3/8 ORF,1L1000,HFS&G",Make,Planner 12,,46.49198312,D USE,,
27A8697X012,"PLUG,BAL ~ 3 7/16 ORF,1L1000",Make,Planner 12,,43.20363873,D E&O,,
27A8698X012,"PLUG,BAL ~ 3 7/16 ORF,1L1000,HFS&G",Make,Planner 12,,53.13023821,D E&O,,
27A9087X012,"PLUG,BAL ~ 1 7/8 ORF,1L7500,HFS&G",Make,Planner 12,,46.07555773,D E&O,,
27A9198X012,"PLUG,BAL ~ 1 7/8 ORF,1L5000",Make,Planner 12,,44.92150184,D USE,2,
27A9198X042,"PLUG,BAL  ~  1 7/8 PORT,1L5000",Make,Planner 12,,39.47287037,D E&O,,
27A9354X0A2,"PISTON,QUAD SEAL  ~  SIZE 60",Make,Planner 10,,96.28948094,D USE,2,
27A9444X012,"HANDJACK BODY ~ SIZE 50,60",Make,Planner 10,,68.25038788,D E&O,,
27A9444X013,"HANDJACK BODY ~ 50,60 LESS PAINT",Make,Planner 10,,66.56887839,B,73,
27A9446X012,"HANDJACK BODY ~ SIZE 30,40",Make,Planner 10,,66.73921102,D USE,,
27A9446X013,"HANDJACK BODY ~ 30,40 LESS PAINT",Make,Planner 10,,65.95333747,B,79,
27A9636X023,"HANDJACK BODY ~ SIZE 30,40",Make,Planner 9,,,,,
27A9637X012,"SCREW,HANDJACK  ~  50&60",Make,Planner 4,,55.99830496,D USE,,
27A9638X012,"SCREW,HANDJACK ~ SIZE 50,60",Make,Planner 4,,59.73162024,D USE,7,
27A9639X012,"SCREW,HANDJACK ~ SIZE 30",Make,Planner 4,,44.52116302,B,40,
27A9640X012,"SCREW,HANDJACK ~ SIZE 40",Make,Planner 4,,43.90657213,B,103,
27A9641X012,"SCREW,HANDJACK ~ SIZE 50,60",Make,Planner 4,,56.58894703,B,105,
27A9642X012,"SCREW,HANDJACK ~ SIZE 60",Make,Planner 4,,56.02625544,B,39,
27A9643X012,"SCREW,HANDJACK ~ SIZE 40,3 1/2 TVL",Make,Planner 4,,56.071171,B,65,
27A9644X012,"SCREW,HANDJACK ~ SIZE 40",Make,Planner 4,,50.61991794,B,32,
27A9645X012,"SCREW,HANDJACK ~ SIZE 30",Make,Planner 4,,55.95610113,A,155,
27A9646X012,"SCREW,HANDJACK ~ SIZE 30",Make,Planner 4,,50.84840479,B,8,
27A9648F012,"SCREW HANDJACK ~ SIZE 45,50,60",Make,Planner 4,,29.28359557,D E&O,,
27A9648X012,"SCREW,HANDJACK ~ SIZE 45,50,60",Make,Planner 4,,55.94672218,B,23,
27A9650X012,"SCREW,HANDJACK ~ SIZE 40",Make,Planner 4,,55.86634999,C,23,
27A9651X012,"SCREW,HANDJACK ~ 34,40 3 1/2 TVL",Make,Planner 4,,54.31724804,D E&O,,
27A9654X012,"SCREW,HANDJACK  ~  SIZE 45,50,60",Make,Planner 4,,58.40641735,B,16,
27A9655D012,"SCREW,HANDJACK ~ SIZE 30,34,40",Make,Planner 4,,59.16433708,D E&O,,
27A9655X012,"SCREW,HANDJACK ~ SIZE 30,34,40",Make,Planner 4,,55.71690461,C,31,
27A9656D012,"SCREW,HANDJACK ~ SIZE 45,50,60",Make,Planner 4,,29.19992085,D NEW,,
27A9656X012,"SCREW,HANDJACK ~ SIZE 45,50,60",Make,Planner 4,,56.25880731,B,28,
27A9705X01A,"SEAT RING CSTG ~ 1,1/4 PORT",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",126,C,325,ANHUI YINGLIU ELECTROMECHANICAL CO LTD
27A9763F012,STEM HANDJACK ~ 3 IN MAX TRAVEL,Make,Planner 4,,27.14514403,D E&O,,
27A9851X012,"PLUG,BAL ~ 7 ORF,1L7500,HFS&G,DIA A",Make,Planner 12,,48.38449932,D E&O,0,
27B0138X022,"SEAT RING RETAINER ~ 4 CL2500,CAV III,3 STAGE",Make,Planner 4,,72.08859757,D E&O,,
27B0182X012,"SEAT RING  ~  2 CL1500,1 5/16 PORT",Make,Planner 4,,41.22651482,D E&O,,
27B0257X012,"PLUG,BAL  ~  1 5/16PORT,1L5000,1 1/8TVL",Make,Planner 12,,44.33991351,D E&O,1,
27B0257X022,"PLUG,BAL ~ 1 5/16PORT,1L5000,1 1/8TVL",Make,Planner 12,,43.6968699,D E&O,,
27B0257X052,"PLUG,BAL ~ 1 5/16PORT,1L5000,1 1/8T",Make,Planner 12,,45.14760652,D USE,4,
27B0268X012,"PLUG,BAL  ~  8 PORT,1L7500,HFS.1/32R",Make,Planner 12,,47.89077894,D E&O,,
27B0269X012,"PLUG,BAL  ~  8 PORT,1L1000,HFS,1/32R",Make,Planner 12,,48.11925843,D E&O,,
27B0269X022,"PLUG,BAL ~ 8PORT,1L1000,HFS,1/32R",Make,Plan 12 NU,,39.66144531,D E&O,,
27B0270X012,"PLUG,BAL  ~  8 PORT,1L1250,HFS",Make,Planner 12,,46.44954932,D E&O,,
27B0391X022,"PLUG,BAL  ~  3 7/16 PORT,3 TVL,1L7500",Make,Planner 12,,44.85077262,D USE,,
27B0480X012,"PLUG,BAL  ~  8 PORT,1L1000",Make,Planner 12,,42.05099015,D USE,2,
27B0483X012,"PLUG,BAL  ~  1 5/16 PORT,1L5000,1 3/4 TVL",Make,Planner 12,,43.67523967,D USE,,
27B0483X022,"PLUG,BAL  ~  1 5/16 PORT,1L5000,1 3/4 TVL",Make,Planner 12,,44.82751834,D USE,6,
27B0483X052,"PLUG,BAL ~ 1 5/16 PORT,1L5000,1 3/4 TVL",Make,,,,,,
27B0492X032,"PLUG,M-FORM ~ 3/8PORT,1L5000,HFSG&C,DIA B",Make,Planner 12,,48.2001194,D E&O,,
27B0508X012,"SEAT RING  ~  6X4,3 7/16 PORT,WIDE BEVEL",Make,Planner 4,,21.78534033,D E&O,1,
27B0508X152,"SEAT RING ~ 6X4,3 7/16 PORT,WIDE BEVEL",Make,Planner 4,,89.55220841,D NEW,,
27B1020X012,"SEAT/LINER  ~  2,3/4 PORT,7/8 SEAT,CAV",Make,Planner 4,,40.48784323,D USE,,
27B1020X022,"SEAT/LINER  ~  2,3/4 PORT,7/8 SEAT,CAV",Make,Planner 4,,35.86986815,D USE,,
27B1135X012,"PLUG,BAL ~ 5 3/8 PORT,1L7500",Make,Planner 12,,46.06750355,A,55,
27B1135X022,"PLUG,BAL  ~  5 3/8PORT,1L7500,3TVL",Make,Planner 12,,20.64021382,D USE,2,
27B1141X012,"SEAT RING ~ 3 CL1500,1 7/8PORT",Make,Planner 4,,44.2408429,D USE,1,
27B1141X042,"SEAT RING ~ 3 CL1500,1 7/8PORT",Make,Planner 4,,67.90156415,D USE,,
27B1141X052,"SEAT RING ~ 3 CL1500,1 7/8PORT",Make,Planner 4,,67.88312734,D E&O,,
27B1169X012,"PLUG,VALVE,LINEAR  ~  1 1/2PORT,3/4TVL,1L5000,HFS",Make,Planner 12,,27.86417926,D USE,,
27B1174X012,"RINGS,ANTI-EXTRUSION  ~  2 3/16 PORT,1.92X2.29X.074",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",42,D USE,,TRELLEBORG SEALING SOLUTIONS US  INC
27B1235F022,"FLANGE,PACKING ~ 4 1/2 SHAFT,ENVIRO-SEAL",Make,Planner 4,,43.75965717,D E&O,,
27B1235X012,"FLANGE,PACKING  ~  4 1/2 SHAFT,ENVIRO-SEAL",Make,Planner 4,,46.86253559,D USE,,
27B1302X012,BEARING PLATE ~ 8 V260,Make,Planner 10,,50.31014403,D USE,,
27B1302X01A,SHEET ~ 1.250 THICK X 7.125X9.187,Buy,Planner 10,"GOMEZ CANO, ARTURO",42,D USE,,NATIONAL SPECIALTY ALLOYS INC
27B1302X032,BEARING PLATE ~ 8 V260,Make,Planner 10,,53.33827472,D E&O,,
27B1303X012,BEARING PLATE ~ 10 V260,Make,Planner 10,,56.60755529,D USE,,
27B1303X01A,SHEET ~ 1.500 THICKX9.5625X10.937,Buy,Planner 3,"JACINTO ANDRACA, MARIA ELENA",42,D E&O,,
27B1303X022,BEARING PLATE  ~  10 V260,Make,Plan 7 NU,,34.39203642,D E&O,,
27B1303X032,BEARING PLATE  ~  10 V260,Make,Planner 10,,57.93877347,A,56,
27B1350F032,SEAL ASSY ~ 8 V260,Make,,,,,,
27B1350X012,SEAL ASSY ~ 8 V260,Make,Planner 3,,87.40174684,AA,43,
27B1350X022,SEAL ASSY ~ 8 V260,Make,Planner 3,,74.18300267,D E&O,,
27B1350X032,SEAL ASSY ~ 8 V260,Make,Planner 3,,89.06760235,D USE,3,
27B1350X052,SEAL ASSY ~ 8 V260,Make,Planner 10,,86.78832714,D USE,2,
27B1350X062,SEAL ASSY ~ 8 V260,Make,Planner 3,,89.35306163,D USE,,
27B1351X012,SEAL ASSY ~ 10 V260,Make,Planner 3,,89.74268506,AA,39,
27B1351X022,SEAL ASSY ~ 10 V260,Make,Planner 3,,137.5795238,D E&O,,
27B1351X032,SEAL ASSY ~ 10 V260,Make,Planner 3,,84.91137509,D USE,6,
27B1351X052,SEAL ASSY  ~  10 V260,Make,Planner 3,,87.45930607,D USE,,
27B1351X062,SEAL ASSY ~ 10 V260,Make,Planner 3,,84.93140025,D USE,,
27B1351X092,SEAL ASSY ~ 10 V260,Make,Planner 3,,137.6063523,D E&O,,
27B1351X112,SEAL ASSY ~ 10 V260 NACE,Make,Planner 3,,89.80837103,D E&O,,
27B1352X012,SEAL ASSY ~ 12 V260,Make,Planner 3,,86.73960293,AA,45,
27B1352X022,SEAL ASSY ~ 12 V260,Make,Planner 3,,137.6313752,D E&O,,
27B1352X032,SEAL ASSY  ~  12 V260,Make,Planner 3,,85.22203364,D USE,1,
27B1352X052,SEAL ASSY  ~  12 V260,Make,Planner 3,,77.68945426,D E&O,,
27B1352X062,SEAL ASSY ~ 12 V260,Make,Planner 3,,86.31134715,D E&O,,
27B1371X06A,TAILPIECE FORGING ~ 8 V260,Buy,Planner 10,"GOMEZ CANO, ARTURO",54,D E&O,,FRISA FORJADOS SA DE CV
27B1380X012,"FLANGE,PACKING ~ 10,12 V260",Make,Planner 4,,55.59509501,B,32,
27B1450X012,"LINER  ~  2X3 CL600,HF BORE",Make,,,,,,
27B1547X012,"SEAT/LINER  ~  1,3/4PORT,7/8 SEAT",Make,Planner 4,,35.30345569,D E&O,,
27B1547X022,"SEAT/LINER  ~  1,3/4PORT,7/8 SEAT",Make,Planner 4,,37.96794229,D E&O,,
27B1726X052,"SEAT RING ~ 3 CL1500,1 5/16PRT,3TVL,4STAGE",Make,Planner 4,,45.9718131,D E&O,,
27B1733X013,"VEEBALL,SEMI-FINISH ~ 8,V150,V200,V300",Buy,Planner 3,"JACINTO ANDRACA, MARIA ELENA",120,D E&O,,J F VOCHKO CO
27B1759X012,"PLUG,BAL  ~  1 5/16PORT,1L5000,1 1/8T,HFS&G",Make,Planner 12,,46.9490996,D USE,,
27B1759X062,"PLUG,BAL ~ 1 5/16 PORT,1L5000,HFS&G",Make,Planner 12,,28.4397361,D USE,1,
27B1759X132,"PLUG,BAL ~ 1 5/16 PORT,1L5000,1 1/8 TVL,HFS&G",Make,Plan 12 NU,,28.96474917,D E&O,,
27B1759X532,"PLUG,BAL ~ 1 5/16 PORT,1L5000,HFS&G",Make,Planner 12,,28.4344603,D E&O,,
27B1759X692,"PLUG,BAL ~ 1 5/16 PORT,1L5000,HFS&G",Make,Planner 12,,29.49618336,D NEW,2,
27B2737X012,VALVE BODY ~ 1 SWE,Make,Planner 9,,73.85416859,D,,
27B2789X013,BONNET SPACER ~ 3 CL1500,Make,Planner 3,,19.71210683,D E&O,,
27B2794F032,"RETAINER ~ 2 1/2,600,2 7/8PORT",Make,Planner 10,,42.30754253,D E&O,,
