Part Number,Part Name,Make/Buy,Planner,Buyer,CTLT,ABC Class,Ann Usage Pieces,Primary Supplier
1J8735F0142,PACKING BOX RING ~ 1 1/4 STEM X 2,Make,Planner 4,,37.46935131,D E&O,,
1J8735N0042,PACKING BOX RING ~ 1 1/4 STEM X 2,Make,Planner 4,,30.16060795,D USE,2,
1J8735X0072,PACKING BOX RING  ~  1 1/4 STEM X 2,Make,Planner 4,,37.31066191,D USE,5,
1J8735X0092,PACKING BOX RING ~ 1 1/4 STEMX2,Make,Planner 4,,43.67529363,D USE,,
1J8735X0122,PACKING BOX RING ~ 1 1/4 STEM X 2,Make,Planner 4,,34.17292756,D USE,4,
1J9079000A2,"CYLINDER 470  ~  100,1/2TOP,1/2BOT",Make,Planner 12,,66.54844778,D E&O,,
1J9079X0012,"CYLINDER 470  ~  100,1/2TOP,1/2BOTTOM",Make,Planner 12,,44,,,
1J9079X0013,"CYLINDER 470  ~  100,1/2TOP,1/2BOTTOM NO PNT",Make,Planner 12,,66.42988607,D E&O,,
1J916024102,SPACER ~ .344X.750X.188,Make,Planner 4,,29.16814397,D E&O,,
1J958626012,"STOP,TRAVEL  ~  3 1/8 TVL",Make,Planner 4,,52.13372216,D E&O,,
1J962335072,"RING,LANTERN ~ 1/2 STEM",Make,Planner 4,,29.26991328,D E&O,,
1J962340032,"RING,LANTERN ~ 1/2 STEM",Make,Planner 4,,40.98999715,D E&O,,
1J962340152,"RING,LANTERN  ~  1/2 STEM",Make,Planner 4,,39.47420742,D USE,,
1J9623F0162,"RING,LANTERN ~ 1/2 STEM",Make,Planner 4,,37.94309104,D E&O,10,
1J9623X0072,"RING,LANTERN  ~  1/2 STEM",Make,Planner 4,,41.06795627,D E&O,,
1J9623X0082,"RING,LANTERN ~ 1/2 STEM",Make,Planner 4,,35.48891935,D E&O,,
1J9623X0112,"RING,LANTERN  ~  1/2 STEM",Make,Planner 4,,25.71038153,D E&O,,
1J992414012,"SCREW,ADJUSTING ~ SIZE 30",Make,Planner 4,,51.23653036,A,395,
1J992535162,"STEM,PLUG ~ SIZE 30",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",4.565961637,D E&O,,
1K1227000A2,"PLUG/STEM,M-FORM  ~  1/4PORT,3/4TVL,1/2STEM",Make,,,,,,
1K131135132,"TRAVEL STOP,ADJ SCRW ~ E 45-50-60 ADJ TVL STOP",Make,Planner 4,,32.41805522,B,34,
1K161126012,"STOP,TRAVEL ~",Make,Planner 4,,42.64344784,D USE,,
1K161724492,"SEAT,LOWER SPRING ~ SIZE 46 & 60",Make,Planner 4,,67.40580156,C,95,
1K1617A0012,"SEAT,LOWER SPRING ~ SIZE 46 & 60",Make,Planner 4,,65.14834133,D NEW,,
1K331724102,"SCREW,ADJUSTING ~ SIZE 50 & 60",Make,Planner 4,,35.14868043,D USE,1,
1K3717X0012,"STOP,TRAVEL ~ 30-60 FOR 15/16 TVL",Make,Planner 4,,49.82038791,D USE,6,
1K374324092,"STOP,TRAVEL",Make,Planner 4,,32.17579446,D NEW,,
1K408924392,"DIAPH HEAD,LOWER ~ SIZE 80",Make,Planner 4,,56.59750391,A,141,
1K409224492,SPACER ~ .344X.750X1.250,Make,Planner 4,,39.8970566,C,126,
1K415435162,"STEM,PLUG ~ VSC1L1250,1 1/4X20.00,4.00THD",Make,Planner 5,,39,D,,
1K4154X0032,"STEM,PLUG  ~  VSC1L1250,1 1/4X20.00,4.00THD",Make,Planner 5,,42,D,,
1K448135072,"TUBE END,OUTER",Make,Planner 4,,36.84415368,D E&O,,
1K448140032,"TUBE END,OUTER",Make,Planner 4,,36.85411956,D E&O,,
1K448140042,"TUBE END,OUTER",Make,Planner 4,,36.90806206,D E&O,,
1K448140152,"TUBE END,OUTER",Make,Planner 4,,36.90634293,D E&O,,
1K4481X0022,"TUBE END,OUTER",Make,Planner 4,,36.85411956,D E&O,,
1K4481X0062,"TUBE END,OUTER ~ CMTR",Make,Planner 4,,36.83685623,D USE,5,
1K448235072,"TUBE END,OUTER",Make,Planner 4,,37.34554387,D USE,6,
1K448240032,"TUBE END,OUTER",Make,Planner 4,,36.87782706,D E&O,,
1K448240042,"TUBE END,OUTER",Make,Planner 4,,36.89061948,D E&O,,
1K448240152,"TUBE END,OUTER",Make,Planner 4,,37.86347887,D E&O,,
1K448435072,"TUBE END,OUTER",Make,Planner 4,,36.85361221,D E&O,,
1K448440032,"TUBE END,OUTER",Make,Planner 4,,36.84785465,D E&O,,
1K448440042,"TUBE END,OUTER",Make,Planner 4,,36.91055322,D E&O,,
1K448440152,"TUBE END,OUTER",Make,Planner 4,,36.9261364,D E&O,,
1K4486X0012,"TUBE END,INNER",Make,Planner 4,,35.87175549,D E&O,,
1K448835072,"TUBE END,INNER",Make,Planner 4,,35.80424704,D E&O,,
1K448835082,"OBS-SEE ECRN 20201064 ~ TUBE END,INNER",Make,Planner 4,,35.8793164,D E&O,,
1K448935072,"TUBE END,INNER",Make,Planner 4,,43.81209793,D USE,6,
1K448940152,"TUBE END,INNER",Make,Planner 4,,35.81912629,D E&O,,
1K449040152,"TUBE END,INNER",Make,Planner 4,,35.84789271,D E&O,,
1K449140152,"TUBE END,INNER",Make,Planner 4,,35.86026984,D E&O,,
1K449243042,TORQUE TUBE,Make,Planner 4,,76.44232261,D E&O,,
1K449443042,TORQUE TUBE,Make,Plan 7 NU,,65.65526002,D E&O,,
1K449643042,TORQUE TUBE,Make,Planner 4,,77.3665523,D E&O,,
1K449843042,TORQUE TUBE,Make,Planner 4,,77.45116461,D E&O,,
1K450043042,TORQUE TUBE,Make,Planner 4,,77.38098114,D E&O,,
1K503924102,"STEM,ACTUATOR ~ 657 SIZE 80,SIDE MTD MO",Make,Planner 10,,29.15851762,D USE,12,
1K539435072,DRIVER BEARING BOLT,Make,Planner 4,,64.02546529,D USE,,
1K539440012,DRIVER BEARING BOLT,Make,Planner 4,,38.15817883,C,97,
1K539440152,DRIVER BEARING BOLT,Make,Planner 4,,41.12927141,D USE,2,
1K556635012,BUSHING ~ 1 1/8 ID X 1 3/8 OD X 1/2 IN,Make,Planner 4,,38.40323317,C,44,
1K5631F0022,CYLINDER ~ 2 IN,Make,Planner 4,,45.08097104,D E&O,,
1K5631F0032,CYLINDER ~ 2 IN,Make,Planner 4,,45.23556266,D E&O,,
1K585635162,"STEM,PLUG ~ VSC1L3750,3/8X 8.50,2.38THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D USE,5,RAKA CORP DBA LOCKREY MANUFACTURING
1K586235162,"STEM,PLUG ~ VSC1L3750,3/8X11.00,2.38THD",Make,Planner 5,,39,D,,
1K586435162,"STEM,PLUG  ~  VSC1L3750,3/8X11.25,2.38THD",Make,Planner 5,,36,D,,
1K586935052,"STEM,PLUG  ~  VSC1L5000,1/2X12.25,3.38THD",Make,Planner 5,,39,D,,
1K586935082,"STEM,PLUG  ~  VSC1L5000,1/2X12.25,3.38THD",Make,Planner 12,,39,D USE,,
1K586935162,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,C,613,RAKA CORP DBA LOCKREY MANUFACTURING
1K586935212,"STEM,PLUG  ~  VSC1L5000,1/2X12.25,3.38THD",Make,Planner 5,,37,D,,
1K586950192,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Make,Planner 12,,40.35651021,D USE,7,
1K5869F0242,OBS-SEE 1K5869X0582,Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D E&O,,RAKA CORP DBA LOCKREY MANUFACTURING
1K5869X0062,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Make,Planner 5,,39,D,,
1K5869X0082,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",4.149648323,D E&O,,
1K5869X0102,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",41,C,20,RAKA CORP DBA LOCKREY MANUFACTURING
1K5869X0152,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Make,Planner 5,,39,D,,
1K5869X0212,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Make,Planner 5,,33,D,,
1K5869X0392,"STEM,PLUG  ~  VSC1L5000,1/2X12.25,3.38THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D E&O,,RAKA CORP DBA LOCKREY MANUFACTURING
1K5869X0582,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD,CMTR",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D E&O,,RAKA CORP DBA LOCKREY MANUFACTURING
1K5869X0592,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD,CMTR",Make,Planner 5,,29,D,,
1K5869X0602,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Make,Planner 5,,34,D,,
1K5869X0612,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Make,Planner 5,,130,D,,
1K5869X0642,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Make,Planner 5,,34,D,,
1K5869X1902,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D E&O,,RAKA CORP DBA LOCKREY MANUFACTURING
1K5869X2182,"STEM,PLUG ~ VSC1L5000,1/2X12.25,3.38THD",Make,,,,,,
1K587335162,"STEM,PLUG ~ VSC1L5000,1/2X17.00,3.38THD",Make,Planner 5,,39,D,,
1K587435162,"STEM,PLUG ~ VSC1L5000,1/2X17.25,3.38THD",Make,Planner 5,,130.1594522,D,,
1K5874X0062,"STEM,PLUG  ~  VSC1L5000,1/2X17.25,3.38THD",Make,Planner 5,,31,D,,
1K587535162,"STEM,PLUG ~ VSC1L5000,1/2X17.75,3.38THD",Make,Planner 5,,130.1594522,D,,
1K587635162,"STEM,PLUG ~ VSC1L7500,3/4X15.25,4.25THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D USE,1,RAKA CORP DBA LOCKREY MANUFACTURING
1K587735082,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",54,D E&O,,
1K587735102,"STEM,PLUG  ~  VSC1L7500,3/4X15.50,4.25THD",Make,Planner 5,,32,D,,
1K587735162,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,Planner 12,,39.92248492,D E&O,,
1K587746222,"STEM,PLUG  ~  VSC1L7500,3/4X15.50,4.25THD",Make,Planner 5,,39,D,,
1K5877F0082,"STEM,PLUG ~ VSC1L7500,3/4X393.7MM",Make,Planner 5,,35,D,,
1K5877F0222,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,Planner 5,,108,D,,
1K5877X0042,"STEM,PLUG  ~  VSC 1L7500,3/4X15.50,4.25THD",Make,Planner 5,,133,D,,
1K5877X0092,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,Planner 5,,39,D,,
1K5877X0132,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D E&O,,RAKA CORP DBA LOCKREY MANUFACTURING
1K5877X0332,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,Planner 5,,112,D,,
1K5877X0432,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD,CMTR",Make,Planner 5,,40,D,,
1K5877X0442,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,Planner 5,,131,D,,
1K5877X0452,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,Planner 5,,131,D,,
1K5877X0462,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,Planner 5,,107,D,,
1K5877X0472,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D E&O,,RAKA CORP DBA LOCKREY MANUFACTURING
1K5877X1212,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,,,,,,
1K5877X1222,"STEM,PLUG ~ VSC1L7500,3/4X15.50,4.25THD",Make,,,,,,
1K5878X0012,"STEM,PLUG ~ VSC1L7500,3/4X18.25,4.25THD",Make,Planner 5,,39,D,,
1K5878X0092,"STEM,PLUG ~ VSC1L7500,3/4X18.25,4.25THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D USE,2,RAKA CORP DBA LOCKREY MANUFACTURING
1K5878X0182,"STEM,PLUG ~ VSC1L7500,3/4X18.25,4.25THD",Make,Planner 5,,110,D,,
1K5878X0192,"STEM,PLUG ~ VSC1L7500,3/4X18.25,4.25THD",Make,Planner 5,,132,D,,
1K587935162,"STEM,PLUG ~ VSC1L7500,3/4X18.50,4.25THD",Make,Planner 12,,34.41031541,D USE,,
1K5879X0032,"STEM,PLUG  ~  VSC1L7500,3/4X18.50,4.25THD",Make,Planner 5,,110,D,,
1K5879X0172,"STEM,PLUG ~ VSC1L7500,3/4X18.50,4.25THD,CMTR",Make,Planner 5,,107,D,,
1K5879X0182,"STEM,PLUG ~ VSC1L7500,3/4X18.50,4.25THD",Make,,,,,,
1K588035162,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",41,D USE,,RAKA CORP DBA LOCKREY MANUFACTURING
1K5880D0052,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,,,,,,
1K5880D0062,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,,,,,,
1K5880F0132,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 9,,36,D,,
1K5880F0312,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 5,,107,D,,
1K5880N0032,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 5,,131,D,,
1K5880N0042,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 5,,131,D,,
1K5880X0262,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 5,,111,D,,
1K5880X0302,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 12,,34.39462914,D E&O,,
1K5880X0332,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 12,,106.5103154,D E&O,,
1K5880X0382,"STEM, PLUG  ~  VSC1L7500,3/4X19.25,4.25THD",Make,Planner 5,,130,D,,
1K5880X0462,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD,CMTR",Make,Planner 5,,38,D,,
1K5880X0492,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 5,,107,D,,
1K5880X0532,"STEM,PLUG ~ VSC1L7500,3/4X19.25,4.25THD",Make,Planner 5,,130,D,,
1K654724092,SPACER ~ .344X.625X2.250,Make,Plan 3 NU,,32.03452666,D E&O,,
1K6737X0032,"NIPPLE,PIPE,PLAIN  ~  2 SCH 80 X 6.56",Make,Plan 7 NU,,49.59971135,D E&O,,
1K723319012,"TRAVEL STOP BODY  ~  657/30,1/4 NPT CONN",Make,Planner 10,,133.2753648,D E&O,2,
1K723319013,"TRAVEL STOP BODY ~ 657/30,1/4 NPT CONN,LESS PAINT",Make,Planner 10,,135.4872881,D USE,6,
1K723419013,"TRAVEL STOP BODY ~ 657/30,1/2 NPT CONN LESS PAINT",Make,Planner 10,,133.796299,D E&O,,
1K723519012,"TRAVEL STOP BODY,ADJ ~ SIZE 34 & 40 1/4-18 NPT",Make,Planner 10,,135.5939824,B,31,
1K723519013,"TRAVEL STOP BODY,ADJ ~ 34&40 1/4-18 NPT LESS PAINT",Make,Planner 10,,153.4670969,A,106,
1K7235X0012,"TRAVEL STOP BODY,ADJ  ~  34&40,1/4 NPT",Make,Plan 7 NU,,132.5720473,D E&O,,
1K7235X0013,"TRAVEL STOP BODY,ADJ ~ 34&40,1/4 NPT,UNPAINTED",Make,Plan 7 NU,,72.57204733,D E&O,,
1K723619013,"TRAVEL STOP BODY,ADJ ~ UNPAINTED",Make,Planner 10,,131.4992139,D E&O,,
1K7544X0152,END PIECE ~ 249C 3/4 NPT,Make,Planner 4,,38.2838235,D E&O,,
1K7575X0042,"STEM,PLUG  ~  VSC1L1000,1X17.75,4.00THD",Make,Planner 5,,132,D,,
1K7591X0052,"STEM,PLUG  ~  VSC1L1000,1X18.50,4.00THD",Make,Planner 5,,135,D,,
1K767424092,SPACER  ~  .344X.875X2.125,Make,Planner 4,,39.78506188,B,887,
1K767424093,SPACER ~ .344X.875X2.125;LESS PAINTING,Make,Planner 4,,39.73996575,D E&O,0,
1K7796X0062,"STEM,PLUG ~ VSC1L1000,1X19.00,4.00THD",Make,Planner 5,,133,D,,
1K785135162,"STEM,PLUG ~ VSC1L1000,1X24.75,4.00THD",Make,Planner 5,,32,D,,
1K7851X0092,"STEM,PLUG ~ VSC1L1000,1X24.75,4.00THD",Make,Planner 5,,32,D,,
1K7891X0012,"STEM,PLUG ~ VSC1L1000,1X24.25,4.00THD",Make,Planner 5,,32,D,,
1K7891X0242,"STEM,PLUG  ~  VSC1L1000,1X24.25,4.00THD",Make,Planner 5,,135,D,,
1K7891X0342,"STEM,PLUG ~ VSC1L1000,1X24.25,4.00THD",Make,Planner 5,,130,D,,
1K794140152,FLOAT HEAD,Make,Planner 4,,38.73598518,D E&O,,
1K896535162,"STEM,PLUG ~ VSC1L7500,3/4X19.50,4.25THD",Make,Planner 12,,44.38898124,D E&O,,
1K9289X0102,"STEM,PLUG ~ VSC1L1000,1X22.00,4.00THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D USE,2,RAKA CORP DBA LOCKREY MANUFACTURING
1L121822012,"FLANGE,BONNET ~ 1,CL1500,DESIGN DBQ",Make,Planner 10,,137.14765,D E&O,,
1L1218X0043,"FLANGE,BONNET ~ 1,CL1500,DESIGN DBQ LESS PAINT & HYDRO",Make,Planner 10,,133.1363314,D E&O,,
1L168746512,BUSHING  ~  8 & 10 IN #6 BORE,Make,Planner 4,,68.59681528,D E&O,,
1L179846072,"BUSHING ~ 3,HF BORE",Make,Planner 4,,47.57647676,D USE,,
1L1990X0022,"STEM,PLUG  ~  VSC1L1000,1X29.50,4.00THD",Make,Planner 9,,132,D,,
1L212324092,"ADAPTOR,YOKE",Make,Plan 12 NU,,52.17495225,D E&O,,
1L212435132,LEVER ADAPTOR,Make,Plan 7 NU,,16.442685,D E&O,,
1L218924102,"ROD,PISTON",Make,Planner 10,,29.17508635,D NEW,,
1L2239X0012,"ROD,PISTON,ASSY",Make,Planner 10,,148.1546242,D NEW,,
1L2298X0012,"STEM,PLUG ~ VSC1L1250,1 1/4X23.50,4.00THD",Make,Planner 5,,36,D,,
1L2596X0042,"STEM,PLUG  ~  VSC1L1000,1X27.25,4.00THD",Make,Planner 9,,132,D,,
1L294135162,"STEM,PLUG  ~  VSC1L1000,1X28.25,4.00THD",Make,Planner 5,,31,D,,
1L2941X0012,"STEM,PLUG  ~  VSC1L1000,1X28.25,4.00THD",Make,Planner 5,,130,D,,
1L340923022,END PIECE ~ 259B 1 1/2 NPT,Make,Planner 10,,183.4802496,C,35,
1L340923032,END PIECE ~ 259B 1 1/2 NPT CSP-C006,Make,Planner 10,,,D NEW,,
1L3409N0162,END PIECE ~ 259B 1 1/2 NPT,Make,,,,,,
1L341023022,END PIECE ~ 259B 2 NPT,Make,Planner 10,,185.9441182,D USE,3,
1L3765X0072,"STEM,PLUG ~ VSC1L1000,1X25.25,4.00THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",36,D E&O,,
1L384135162,"STEM,PLUG  ~  VSC1L7500,3/4X23.50,4.25THD",Make,Planner 12,,41.45794857,D NEW,,
1L386023022,END PIECE ~ 259B 3/4 NPT,Make,Planner 10,,183.5696115,C,193,
1L3860X0032,END PIECE  ~  259B 3/4 NPT,Make,Planner 10,,179.2318022,D E&O,,
1L400135162,"STEM,PLUG ~ VSC1L7500,3/4X19.00,4.25THD",Make,Planner 12,,34.00247227,D E&O,,
1L4001X0012,"STEM,PLUG  ~  VSC1L7500,3/4X19.00,4.25THD",Make,Planner 12,,31.80973193,D E&O,,
1L4001X0042,"STEM,PLUG ~ VSC1L7500,3/4X19.00,4.25THD",Make,Planner 5,,111,C,,
1L4001X0082,"STEM,PLUG ~ VSC1L7500,3/4X19.00,4.25THD",Make,Planner 5,,111,D,,
1L4001X0162,"STEM,PLUG ~ VSC1L7500,3/4X19.00,4.25THD",Make,Planner 5,,34,D,,
1L412914042,"BUSHING,SEAL",Make,Planner 4,,29.20388336,D E&O,,
1L450114012,"SCREW,ADJUSTING ~ SIZE 40",Make,Planner 4,,51.6193442,A,224,
1L450224102,"STEM,ACTUATOR ~ SIZE 40",Make,Planner 10,,31.08499621,B,177,
1L45022410A,"BAR,ROUND ~ 0.75 DIA X 19.1875",Buy,Planner 10,"GOMEZ CANO, ARTURO",18,D E&O,,ABINSA SA DE CV
1L4590X0032,"STEM,PLUG ~ VSC1L1250,1 1/4X21.75,4.00THD",Make,Planner 5,,45,D,,
1L4590X0062,"STEM,PLUG ~ VSC1L1250,1 1/4X21.75,4.00THD,CMTR",Make,Planner 5,,43,D,,
1L4590X0072,"STEM,PLUG ~ VSC1L1250,1 1/4X21.75,4.00THD - PN SETUP IN ERROR USE AT LATER DATE",Make,,,,,,
1L460135162,FLOAT ROD ~ 3/8 X 24 IN,Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",5.155414491,D E&O,,
1L4963X0012,SPACER  ~  .281X.438X.781,Make,Planner 4,,22.88739698,D E&O,,
1L6134X0042,"SLEEVE,HEX ~ 1/2-1 1/4",Make,Planner 4,,25.07725116,D E&O,,
1L652324492,GAGE BOSS  ~  3/4 NPT,Make,Planner 3,,61.70759167,D USE,,
1L652423022,"FLANGE,ARM,249B ~ CL600",Make,Planner 10,,183.0276603,D USE,6,
1L6524N0192,"FLANGE,ARM,249B ~ CL600",Make,,,,,,
1L6524X0272,"FLANGE,ARM,249B ~ CL600",Make,Plan 7 NU,,135.0120971,D NEW,,
1L652523022,"FLANGE,SIDE,249B ~ 2-150 RF",Make,Planner 10,,183.0022795,B,58,
1L6525X0022,"FLANGE,SIDE,249B  ~  2-150 RF",Make,Planner 10,,181.3291384,D E&O,,
1L6525X0072,"FLANGE,SIDE,249B  ~  2-150 RF FGS8A1-2",Make,Planner 10,,181.3291384,D E&O,,
1L652623022,"FLANGE,SIDE,249B ~ 2-300 RF",Make,Planner 10,,183.5388816,A,133,
1L6526X0122,"FLANGE,SIDE,249B  ~  2-300 RF",Make,Planner 10,,137.2588137,D E&O,,
1L6526X0302,"FLANGE,SIDE,249B ~ 2-300 RF",Make,Plan 7 NU,,135.0424336,D NEW,,
1L652723022,"FLANGE,SIDE,249B ~ 2-400,600 RF",Make,Planner 10,,183.5084237,B,35,
1L6527X0152,"FLANGE,SIDE,249B ~ 2-400,600 RF",Make,Planner 10,,133.8046982,D E&O,,
1L652823022,"FLANGE,SIDE,249B ~ 1 1/2-150 RF FGS8A1-2",Make,Planner 10,,186.6510394,C,32,
1L6528X0092,"FLANGE,SIDE,249B ~ 1 1/2-150 RF FGS8A1-0,CMTR",Make,Planner 10,,200.2108491,D E&O,,
1L6528XTST2,"PN USED FOR TEST ~ ANY ??'S,CONTACT RICK ERVIN - TEST2",Make,,,,,,
1L652923022,"FLANGE,SIDE,249B ~ 1 1/2-300 RF",Make,Planner 10,,186.7812522,D USE,12,
1L653023022,"BOSS,SIDE CONN ~ 249B 2 NPT",Make,Planner 10,,182.9177012,D USE,2,
1L653123022,"BOSS,SIDE CONN ~ 249B 1 1/2 NPT",Make,Planner 10,,183.6204698,C,114,
1L6531X0062,"BOSS,SIDE CONN ~ 249B 1 1/2 NPT",Make,Planner 10,,186.162964,D NEW,2,
1L674233092,"OBS-SEE 1L6742X0252 ~ FLANGE,SIDE,249C, 2-150 RF",Make,Plan 7 NU,,132.3401171,D E&O,,
1L6742X0252,"FLANGE,SIDE,249C ~ 2-150 RF",Make,Planner 10,,134.0105499,D E&O,,
1L702523022,"CONNECTION,SIDE ~ 2 SWE",Make,Planner 10,,182.7597036,D USE,9,
1L7025N0034,"CONNECTION,SIDE ~ 2 SWE",Make,,,,,,
1L702623022,"CONNECTION,SIDE ~ 1 1/2 SWE",Make,Planner 10,,184.7611826,D E&O,,
1L705523022,"FLANGE,SIDE,249B ~ 2-300 RTJ",Make,Planner 10,,182.5499128,D USE,4,
1L705623022,"FLANGE,SIDE,249B ~ 2-400,600 RTJ",Make,Planner 10,,182.6459835,D USE,,
1L818235162,"STEM,PLUG ~ VSC1L7500,3/4X26.25,4.25THD",Make,Planner 5,,39,D,,
1L8182X0012,"STEM,PLUG  ~  VSC1L7500,3/4X26.25,4.25THD",Make,Planner 5,,109,D,,
1L8182X0112,"STEM,PLUG ~ VSC1L7500,3/4X26.25,4.25THD",Make,Planner 5,,130,D,,
1L878235073,"BLOCK,PLUG ~ SEMINIFISH, 3/4, 1.50 OD,4.925",Make,Planner 12,,40.15196802,D E&O,,
1L887224092,SPACER ~ .344X.875X1.312,Make,Planner 4,,40.22823236,D E&O,,
1L913733182,"FLANGE,CAGE",Make,Planner 9,,,,,
1L916235072,FLOAT STEM ~ 1/4X9 5/16,Make,Planner 12,,27.64480747,D USE,1,
1L919414012,"SCREW,ADJUSTING ~ SIZE 60",Make,Planner 4,,50.16159426,C,20,
1L950026032,"REDUCER,CONCENTRIC ~ 6X3-SCH 40",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",72,D E&O,,FASTENAL MEXICO S DE RL DE CV
1L9500X0082,"REDUCER,CONCENTRIC  ~  6X3-SCH 40",Buy,Planner 7,"FERNANDEZ, JORGE",36,D,,MRC GLOBAL US INC
1L993026012,"STOP,TRAVEL  ~  30-60 3 5/8 TVL",Make,Planner 4,,37.63301297,D E&O,,
1L996435072,"STEM,PLUG  ~  VSC1L7500,3/4X15.75,4.25THD",Make,Planner 5,,38,D,,
1L996435162,"STEM,PLUG ~ VSC1L7500,3/4X15.75,4.25THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",41,C,229,RAKA CORP DBA LOCKREY MANUFACTURING
1L9964F0442,"STEM,PLUG ~ VSC1L7500,3/4X15.75,4.25THD,CMTR",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",72,D E&O,,
1L9964X0082,"STEM,PLUG  ~  VSC1L7500,3/4X15.75,4.25THD",Make,Planner 12,,38.91604732,D E&O,,
1L9964X0172,"STEM,PLUG ~ VSC1L7500,3/4X15.75,4.25THD",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",102,D E&O,,RAKA CORP DBA LOCKREY MANUFACTURING
1L9964X0252,"STEM,PLUG ~ VSC1L7500,3/4X15.75,4.25THD",Make,Planner 5,,112,D,,
1L9964X0412,"STEM,PLUG ~ VSC1L7500,3/4X15.75,4.25THD",Make,Planner 9,,38,D,,
1L9964X0442,"STEM,PLUG ~ VSC1L7500,3/4X15.75,4.25THD",Make,Planner 5,,34,D,,
