Item Number,Item_Description,Qty,UOM,Locator,Subinventory,Planner,Organization_Code
0102083539W,"BAR,ROUND ~ 2 1/8",22.75,Inch,B.03.04...,BR,Planner 10,TOL
0102083557W,"BAR,ROUND ~ 2-1/8 IN",171.13,Inch,B.07.04...,BR,Planner 12,TOL
0102083560W,"BAR,ROUND ~ 2 1/8 IN",49.875,Inch,B.07.05...,BR,Planner 12,TOL
010208356BW,"BAR,ROUND ~ 2 1/8 IN",142.375,Inch,B.06.05...,BR,Planner 4,TOL
01020835H4W,"BAR,ROUND ~ 2 1/8 IN",10.25,Inch,B.23.02...,BR,Planner 12,TOL
0102084001W,2 1/8 IN RD COLD FIN,6.875,Inch,B.28.02...,BR,Planner 4,TOL
010208X016W,"BAR,ROUND ~ 2-1/8 IN",10.375,Inch,B.15.03...,BR,Planner 4,TOL
010208X018W,"BAR,ROUND ~ 2-1/8 IN",4.375,Inch,B.15.04...,BR,Planner 12,TOL
0102161223W,"BAR,ROUND ~ 2 1/4 IN",19.5,Inch,B.05.06...,BR,Planner 10,TOL
0102162449W,"BAR,ROUND  ~  2 1/4 IN",265.5,Inch,B.02.04...,BR,Planner 4,TOL
0102162964W,"BAR,ROUND FORGED  ~  2 1/4 IN",5,Inch,B.14.04...,BR,Planner 4,TOL
0102163513W,"BAR,ROUND ~ 2 1/4 IN",42.625,Inch,B.04.02...,BR,Planner 4,TOL
0102163539W,"BAR,ROUND ~ 2 1/4 DIA",43.375,Inch,B.07.05...,BR,Planner 10,TOL
0102163557W,"BAR,ROUND ~ 2 1/4",179.625,Inch,B.05.07...,BR,Planner 4,TOL
0102163558W,"BAR,ROUND ~ 2-1/4 IN",20.5,Inch,B.15.05...,BR,Planner 12,TOL
010216356BW,"BAR,ROUND  ~  2 1/4",84,Inch,B.06.06...,BR,Planner 10,TOL
010216356MW,"BAR,ROUND ~ 2 1/4 INCH",5.25,Inch,B.15.03...,BR,Planner 12,TOL
01021635F2W,"BAR,ROUND ~ 2 1/4 IN",4.75,Inch,B.28.02...,BR,Planner 12,TOL
01021635GVW,"BAR,ROUND ~ 2 1/4 IN",4.25,Inch,B.28.04...,BR,Planner 4,TOL
010216X056W,"BAR,ROUND ~ 2 1/4 IN DIA",3.25,Inch,B.15.04...,BR,Planner 4,TOL
010216X060W,"BAR,ROUND ~ 2 1/4",14.125,Inch,B.15.03...,BR,Planner 4,TOL
0102243122W,"BAR,ROUND ~ 2 3/8 DIA",24,Inch,B.23.04...,BR,Planner 10,TOL
0102243513W,"BAR,ROUND ~ 2 3/8",39.875,Inch,B.13.01...,BR,Planner 4,TOL
0102243557W,"BAR,ROUND ~ 2 3/8",100.055,Inch,B.06.05...,BR,Planner 12,TOL
0102243560W,"BAR,ROUND ~ 2-3/8 IN",73.125,Inch,B.08.06...,BR,Planner 12,TOL
0102243562W,"BAR,ROUND  ~  2 3/8 IN",8,Inch,B.23.03...,BR,Planner 12,TOL
010224356BW,"BAR,ROUND ~ 2 3/8 DIA",47.875,Inch,B.04.02...,BR,Planner 4,TOL
0102246F8HW,"BAR,ROUND ~ 2 3/8",10,Inch,B.28.04...,BR,Planner 4,TOL
0102321454W,"BAR,ROUND  ~  2 1/2 IN",28,Inch,B.05.06...,BR,Planner 10,TOL
0102322409W,"BAR,ROUND ~ 2 1/2 IN",184.25,Inch,B.02.04...,BR,Planner 4,TOL
010232242GW,BAR ROUND ~ 2 1/2 IN,4.25,Inch,B.15.04...,BR,Planner 4,TOL
0102323006W,"BAR,ROUND ~ 2 1/2 IN",48,Inch,B.12.01...,BR,Planner 4,TOL
0102323513W,"BAR,ROUND ~ 2 1/2 IN",372.195,Inch,B.05.07...,BR,Planner 12,TOL
0102323515W,"BAR,ROUND ~ 2 1/2 IN",98.75,Inch,B.07.07...,BR,Planner 12,TOL
0102323539W,"BAR,ROUND ~ 2 1/2",153,Inch,B.07.06...,BR,Planner 4,TOL
0102323556W,"BAR,ROUND  ~  2 1/2 IN",6.32,Inch,B.24.03...,BR,Planner 12,TOL
0102323557W,"BAR,ROUND ~ 2 1/2 IN",184.75,Inch,B.02.02...,BR,Planner 12,TOL
0102323558W,"BAR,ROUND  ~  2-1/2 IN",9.625,Inch,B.23.02...,BR,Planner 12,TOL
0102323560W,"BAR,ROUND ~ 2-1/2 IN",83.25,Inch,B.03.05...,BR,Planner 12,TOL
0102323561W,"BAR,ROUND  ~  2-1/2 IN",16.25,Inch,B.28.03...,BR,Planner 12,TOL
010232356BW,"BAR,ROUND  ~  2 1/2 IN",63.5,Inch,B.13.02...,BR,Planner 12,TOL
010232356MW,"BAR,ROUND ~ 2 1/2 INCH",213.75,Inch,B.12.01...,BR,Planner 12,TOL
0102324015W,"BAR,ROUND ~ 2 1/2 IN",12,Inch,B.28.02...,BR,Planner 4,TOL
0102324042W,"BAR,ROUND  ~  2 1/2 IN",6,Inch,B.28.04...,BR,Planner 12,TOL
010232405CW,"BAR,ROUND ~ 2 1/2 IN",5.75,Inch,B.28.02...,BR,Planner 4,TOL
0102324075W,BAR  ~  2 1/2 INCH,12,Inch,B.15.04...,BR,Planner 4,TOL
0102324118W,"BAR,ROUND ~ 2 1/2 IN DIA",7.25,Inch,B.24.02...,BR,Planner 4,TOL
010232X104W,"BAR,ROUND ~ 2 1/2 IN",8.625,Inch,B.27.03...,BR,Planner 4,TOL
0102402409W,"BAR,ROUND ~ 2 5/8 IN",5.375,Inch,B.23.02...,BR,Planner 4,TOL
0102403513W,"BAR,ROUND ~ 2 5/8 DIA",30.375,Inch,B.07.04...,BR,Planner 12,TOL
0102403557W,"BAR,ROUND ~ 2 5/8",43.375,Inch,B.24.03...,BR,Planner 4,TOL
0102443444W,"BAR,ROUND ~ 2 11/16 DIA",329,Inch,B.08.06...,BR,Planner 10,TOL
0102483122W,"BAR,ROUND ~ 2 3/4 IN DIA",6,Inch,B.14.04...,BR,Planner 4,TOL
0102483503W,"BAR,ROUND ~ 2 3/4 DIA",69,Inch,B.07.06...,BR,Planner 4,TOL
0102483513W,"BAR,ROUND ~ 2 3/4 IN",11.75,Inch,B.23.02...,BR,Planner 4,TOL
0102483539W,"BAR,ROUND ~ 2 3/4 DIA",44.75,Inch,B.08.06...,BR,Planner 10,TOL
0102483557W,"BAR,ROUND ~ 2 3/4 IN",90.25,Inch,B.12.01...,BR,Planner 4,TOL
010248356BW,"BAR,ROUND ~ 2 3/4 IN",12,Inch,B.24.02...,BR,Planner 10,TOL
0102483934W,"BAR,ROUND ~ 2-3/4 IN",18.625,Inch,B.28.04...,BR,Planner 10,TOL
010248X038W,"BAR,ROUND ~ 2 3/4 IN",19.125,Inch,B.14.05...,BR,Planner 3,TOL
0102560913W,"BAR,ROUND ~ 2 7/8 IN",122.375,Inch,B.03.03...,BR,Planner 12,TOL
010256344TW,"BAR,ROUND ~ 2 7/8 IN",8.75,Inch,B.28.02...,BR,Planner 4,TOL
0102563513W,"BAR,ROUND ~ 2 7/8 IN",648.75,Inch,B.06.07...,BR,Planner 4,TOL
0102563557W,"BAR,ROUND ~ 2-7/8 IN",45,Inch,B.03.04...,BR,Planner 4,TOL
010256356MW,"BAR,ROUND ~ 2 7/8 IN",24,Inch,B.14.04...,BR,Planner 4,TOL
010256356QW,"BAR,ROUND ~ 2 7/8 IN",4.5,Inch,B.15.04...,BR,Planner 4,TOL
0102564001W,"BAR,ROUND ~ 2 7/8 IN",8.5,Inch,B.28.02...,BR,Planner 4,TOL
010256M823W,"BAR,ROUND - 2 7/8 IN",7.625,Inch,B.28.03...,BR,Planner 4,TOL
010256X014W,"BAR,ROUND ~ 2-7/8 IN",4,Inch,B.25.02...,BR,Planner 4,TOL
